feature,logFC,p_emp,p_param,p_adj_emp,p_adj_param
A1BG,0.425999294249808,0.000999000999000999,1.024943010001e-25,0.001593969646425,4.9129393149126e-25
A1BG-AS1,0.370542873538881,0.000999000999000999,1.23109648978811e-41,0.001593969646425,1.22862570276672e-40
A2M,-0.259633865710086,0.000999000999000999,1.84649706322883e-08,0.001593969646425,3.58668255980776e-08
A2ML1,0.0933333375012344,0.35964035964036,0.433804958905979,0.390210301983379,0.46872246717125
A4GALT,-0.5458144350686,0.000999000999000999,1.14014873272963e-36,0.001593969646425,9.03038854309475e-36
AACS,-0.126130345103033,0.001998001998002,3.82577909473386e-06,0.00301347077029525,6.42989500462472e-06
AADAT,0.899179726757236,0.000999000999000999,9.35396351933858e-56,0.001593969646425,1.74520849544332e-54
AAGAB,0.00365502464266854,0.797202797202797,0.837029522997852,0.811969756132193,0.853218061900751
AAMDC,0.428532131371028,0.000999000999000999,1.71400455898598e-53,0.001593969646425,2.87597612719429e-52
AARD,-1.68901476422596,0.000999000999000999,6.05946375091507e-57,0.001593969646425,1.17064336012189e-55
AARS1,0.341235496817212,0.000999000999000999,1.42217376873899e-48,0.001593969646425,1.9409786865236e-47
AARSD1,0.0121937167904056,0.541458541458542,0.544888574535155,0.570174140379462,0.577990226948485
AASDH,0.0518410347882172,0.0839160839160839,0.078288768084123,0.100130229707695,0.0933474395932146
AASDHPPT,-0.0280340383473359,0.256743256743257,0.293060333079962,0.285472742307275,0.325505587009374
AASS,0.202603181146462,0.001998001998002,2.05148181099296e-06,0.00301347077029525,3.51081811646363e-06
AATBC,0.0498039331443583,0.293706293706294,0.318869488640647,0.323147559511196,0.352086343076181
AATK,0.147491293631135,0.002997002997003,0.000730826046064539,0.00440178801550318,0.00104637675123186
ABAT,0.12191590270491,0.010989010989011,0.0060758143210058,0.0148717688653791,0.00809330169920141
ABCA1,-0.224243768030443,0.000999000999000999,9.5989110741886e-12,0.001593969646425,2.24183675628947e-11
ABCA10,-0.281992884118918,0.000999000999000999,1.039508018363e-05,0.001593969646425,1.69381011625838e-05
ABCA11P,0.226996090659715,0.000999000999000999,1.85918094305958e-10,0.001593969646425,4.03251516134504e-10
ABCA12,-1.56829665835265,0.000999000999000999,6.29906526802307e-64,0.001593969646425,1.69511551695011e-62
ABCA17P,-0.194099330438695,0.001998001998002,0.000220639191490276,0.00301347077029525,0.000328488731199464
ABCA2,-0.331207710986964,0.000999000999000999,6.44852432336263e-25,0.001593969646425,2.97266314737196e-24
ABCA3,-0.512386751502624,0.000999000999000999,2.90059413007067e-26,0.001593969646425,1.42439223124166e-25
ABCA4,0.742388471854069,0.000999000999000999,1.98924476381091e-15,0.001593969646425,5.64680872765086e-15
ABCA5,-0.394554134116717,0.000999000999000999,3.95216447507983e-16,0.001593969646425,1.16587322933939e-15
ABCA6,-0.18309859498354,0.010989010989011,0.00286086247937294,0.0148717688653791,0.00391103086021855
ABCA7,-0.221836877859482,0.000999000999000999,1.92131564101445e-09,0.001593969646425,3.94012676820553e-09
ABCA8,-0.196661243665544,0.044955044955045,0.0467651651571098,0.0556440312933819,0.0571668655303405
ABCA9,-0.270690117183659,0.001998001998002,4.47098524275648e-05,0.00301347077029525,6.98274726497418e-05
ABCB1,-0.247088232444109,0.003996003996004,1.63652211861031e-05,0.00576103588835216,2.62730256464712e-05
ABCB10,-0.383494564267038,0.000999000999000999,3.15990961940409e-32,0.001593969646425,2.04642617877263e-31
ABCB4,-0.225259904515228,0.000999000999000999,3.2235813115077e-09,0.001593969646425,6.52995031167438e-09
ABCB6,-0.0478032491710065,0.100899100899101,0.111703927560475,0.118673695699611,0.13084369310827
ABCB8,-0.156282970417744,0.000999000999000999,3.81013986574738e-13,0.001593969646425,9.62380071655318e-13
ABCB9,-0.0829941700794836,0.023976023976024,0.0139878680961164,0.0309112598595182,0.017991368355295
ABCC1,0.183506510503699,0.000999000999000999,2.90538074299238e-10,0.001593969646425,6.23446341956433e-10
ABCC11,-0.220745685303971,0.036963036963037,0.0263699999567717,0.0463435928246277,0.0330007319734761
ABCC12,0.661635938985696,0.000999000999000999,6.69546089923306e-19,0.001593969646425,2.26556172498605e-18
ABCC13,-0.0800456864887766,0.328671328671329,0.358414442223811,0.358718769540413,0.392379245306186
ABCC2,0.771331511650029,0.000999000999000999,8.86243544329545e-32,0.001593969646425,5.61860721535311e-31
ABCC3,-0.503921735584965,0.000999000999000999,1.39823739023035e-20,0.001593969646425,5.1420067627217e-20
ABCC4,-0.402171611844389,0.000999000999000999,5.07165228671466e-13,0.001593969646425,1.27091339183075e-12
ABCC5,-0.221513292680038,0.000999000999000999,8.4169331115686e-11,0.001593969646425,1.86234211640569e-10
ABCC6,-0.0261151462919336,0.658341658341658,0.679310311979874,0.681892188593873,0.707261906064071
ABCC6P2,0.0336931466542274,0.543456543456544,0.534957203088234,0.572067417166359,0.568404452965453
ABCC8,-0.0182206262713844,0.742257742257742,0.775025434358019,0.761226847041051,0.796975893971648
ABCC9,-0.0373015363069085,0.421578421578422,0.524714073129292,0.452604187326801,0.558454760318231
ABCD1,-0.509442485980149,0.000999000999000999,7.38775429643854e-47,0.001593969646425,9.31573824568551e-46
ABCD2,-0.807641738475967,0.000999000999000999,1.31271221839558e-37,0.001593969646425,1.08557408834348e-36
ABCD3,0.00752446347459923,0.773226773226773,0.807058959906931,0.790223805325226,0.825758930439754
ABCG1,0.019195526807553,0.502497502497502,0.551537738536494,0.53188930458713,0.584479773664972
ABCG2,-0.0838004592955863,0.105894105894106,0.105263614760366,0.124216501447271,0.123768886811381
ABHD1,0.150108654827555,0.00799200799200799,0.00201376891358711,0.0110325401816048,0.0027852793644571
ABHD11,0.579073479697533,0.000999000999000999,9.22104442918905e-68,0.001593969646425,2.90526405335083e-66
ABHD12,0.114390680092171,0.000999000999000999,2.97288029134433e-07,0.001593969646425,5.36206148747912e-07
ABHD12B,-1.02593633853989,0.000999000999000999,1.01571298543664e-46,0.001593969646425,1.26681673003695e-45
ABHD14A,-0.0146702518167907,0.601398601398601,0.644119689141162,0.627744437728923,0.674080455697235
ABHD14B,-0.229290667959939,0.000999000999000999,8.35552693026897e-20,0.001593969646425,2.95218293177282e-19
ABHD15,-0.0811303815327951,0.003996003996004,0.00244855566196271,0.00576103588835216,0.00336588114253215
ABHD16B,0.448979281072485,0.000999000999000999,1.14743867158151e-30,0.001593969646425,6.87801681702188e-30
ABHD17A,-0.0545793790604536,0.0619380619380619,0.0514169737534916,0.0752161408351682,0.0625325317757
ABHD17B,-0.121767321236841,0.001998001998002,7.89669946997694e-06,0.00301347077029525,1.29594707760262e-05
ABHD17C,-0.00304221650652892,0.889110889110889,0.934427173359673,0.89679524109368,0.941506790742189
ABHD18,-0.0745276261766814,0.032967032967033,0.0191664081907571,0.0416255195455902,0.024356245608632
ABHD2,-0.367571038575801,0.000999000999000999,1.66575901409756e-22,0.001593969646425,6.80059355227822e-22
ABHD3,-0.344128450082648,0.000999000999000999,3.02016335558209e-30,0.001593969646425,1.76954960541969e-29
ABHD4,-0.269044440643078,0.000999000999000999,2.04075761150514e-24,0.001593969646425,9.17458522122024e-24
ABHD6,-0.332936264156652,0.000999000999000999,2.41522059745421e-28,0.001593969646425,1.29441789939474e-27
ABHD8,-0.00400226236467027,0.843156843156843,0.883650943116973,0.854362081614673,0.895077126598957
ABI2,0.171872104713727,0.000999000999000999,1.19718969024905e-08,0.001593969646425,2.34979551868516e-08
ABI3,-0.331235253472407,0.000999000999000999,4.55734647522184e-21,0.001593969646425,1.72134648735509e-20
ABI3BP,-0.116980957732794,0.118881118881119,0.120026084964646,0.138498864891857,0.14013253713155
ABLIM1,-0.188733450751744,0.001998001998002,3.46618275907365e-06,0.00301347077029525,5.84098014078758e-06
ABLIM2,-0.572078798679455,0.000999000999000999,1.47066827088651e-34,0.001593969646425,1.05719880667058e-33
ABLIM3,0.196531387496282,0.000999000999000999,9.02513732363435e-05,0.001593969646425,0.000138254079253156
ABO,-0.0700509146735477,0.362637362637363,0.407313121647444,0.393163666364918,0.442228989204654
ABR,-0.260877069148611,0.000999000999000999,2.67591743262727e-24,0.001593969646425,1.19548701863117e-23
ABRACL,0.152856426167077,0.001998001998002,4.14766440735796e-06,0.00301347077029525,6.9463812896402e-06
ABRAXAS1,0.22345646294199,0.000999000999000999,6.42404118122793e-14,0.001593969646425,1.69445938629391e-13
ABTB1,-0.159584000241071,0.000999000999000999,2.93057465883525e-07,0.001593969646425,5.29076280554046e-07
ABTB2,-0.420289946378526,0.000999000999000999,8.79105618525877e-18,0.001593969646425,2.82266450283e-17
ABTB3,-0.249271185164629,0.000999000999000999,1.62815854731342e-06,0.001593969646425,2.80313853765221e-06
ACAA1,0.138602623784737,0.000999000999000999,2.9647153562573e-09,0.001593969646425,6.01622596336315e-09
ACAA2,0.300852371544893,0.000999000999000999,9.55979565241982e-26,0.001593969646425,4.58814028018152e-25
ACACA,0.177016246903156,0.000999000999000999,3.9028811174752e-08,0.001593969646425,7.42309719049869e-08
ACACB,-0.149488791676921,0.004995004995005,0.00049244762837438,0.00709222496931994,0.000714464483790153
ACAD11,0.252425629304693,0.000999000999000999,8.69287916458182e-22,0.001593969646425,3.43065766063914e-21
ACAD8,0.11403307957992,0.000999000999000999,1.90050235052915e-06,0.001593969646425,3.25975485647898e-06
ACADM,0.0598640998131055,0.0809190809190809,0.0683765517519018,0.0967054888684983,0.0821970383000316
ACADS,-0.0551345354407458,0.131868131868132,0.130239468122204,0.152572162283847,0.151207877059552
ACADSB,-0.212995972407776,0.000999000999000999,2.16179206618058e-08,0.001593969646425,4.18136578063712e-08
ACADVL,0.0347195653541457,0.146853146853147,0.143380014721701,0.168732111770086,0.165573225804937
ACAN,-0.628164637063612,0.000999000999000999,3.2951428564658e-12,0.001593969646425,7.91069455277066e-12
ACAP1,-0.341956450199997,0.000999000999000999,5.37339784525739e-07,0.001593969646425,9.54426947603801e-07
ACAP2,-0.37953754270201,0.000999000999000999,1.38408469388139e-39,0.001593969646425,1.26234263508145e-38
ACAP3,-0.0636068041548752,0.050949050949051,0.0452324211364437,0.0625890758006762,0.0554057192393174
ACAT1,-0.0846284439968885,0.00999000999000999,0.00348492563750644,0.0136067338639686,0.00474037755901061
